date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,change_abs,change_pct,return_simple,return_log,rolling_volatility,drawdown,rolling_max_drawdown,rolling_sharpe,ma_7,ma_30,ma_signal,ma_crossover,vol_regime
2020-05-25,8786.107421875,8951.005859375,8719.66796875,8906.9345703125,31288157264,0.0,0.0,BTC-USD,120.8271484375,1.3752068195373244,,,,0.0,0.0,,,,,0,unknown
2020-05-26,8909.5859375,8991.9677734375,8757.2939453125,8835.052734375,29584186947,0.0,0.0,BTC-USD,-74.533203125,-0.8365506954851122,-0.008070322664891605,-0.008103063993220552,,-0.008070322664891605,-0.008070322664891605,,,,,0,unknown
2020-05-27,8837.380859375,9203.3203125,8834.1572265625,9181.017578125,32740536902,0.0,0.0,BTC-USD,343.63671875,3.8884452782801393,0.039158209254817056,0.038410971222694656,,0.0,-0.008070322664891605,8.892383566635399,,,,0,unknown
2020-05-28,9184.9453125,9546.3193359375,9148.45703125,9525.7509765625,34367073114,0.0,0.0,BTC-USD,340.8056640625,3.7104811456927225,0.037548495632866885,0.03686071480897355,,0.0,-0.008070322664891605,16.300651010137322,,,,0,unknown
2020-05-29,9528.35546875,9573.6669921875,9379.3388671875,9439.1240234375,32896642044,0.0,0.0,BTC-USD,-89.2314453125,-0.9364831696839082,-0.009093976247976698,-0.00913557886418624,,-0.009093976247976698,-0.009093976247976698,10.490415803519495,,,,0,unknown
2020-05-30,9438.9140625,9704.0302734375,9366.7294921875,9700.4140625,32722975141,0.0,0.0,BTC-USD,261.5,2.770445818962556,0.02768159825145977,0.02730538972956484,,0.0,-0.009093976247976698,13.792061416828131,,,,0,unknown
2020-05-31,9700.10546875,9700.34375,9432.296875,9461.05859375,27773290299,0.0,0.0,BTC-USD,-239.046875,-2.4643739778924765,-0.024674768232348376,-0.024984292562996217,,-0.024674768232348376,-0.024674768232348376,7.211146149972511,9292.7646484375,,,0,unknown
2020-06-01,9463.60546875,10199.5654296875,9450.8994140625,10167.2685546875,35198901068,0.0,0.0,BTC-USD,703.6630859375,7.435465143396805,0.07464386293982206,0.07198931640233779,,0.0,-0.024674768232348376,10.698933011391016,9472.81236049107,,,0,unknown
2020-06-02,10162.9736328125,10182.3408203125,9460.5712890625,9529.8037109375,39137252109,0.0,0.0,BTC-USD,-633.169921875,-6.230163973177373,-0.06269774820259899,-0.06474947480283666,,-0.06269774820259899,-0.06269774820259899,4.085204257049071,9572.0625,,,0,unknown
2020-06-03,9533.7607421875,9682.859375,9471.8466796875,9656.7177734375,25007459262,0.0,0.0,BTC-USD,122.95703125,1.28970124775533,0.013317594606312655,0.013229694990896244,,-0.05021513678957723,-0.06269774820259899,4.573549971376237,9640.01967075893,,,0,unknown
2020-06-04,9655.8544921875,9887.6103515625,9525.2470703125,9800.63671875,25921805072,0.0,0.0,BTC-USD,144.7822265625,1.4994242786036442,0.014903505382374727,0.014793539385652563,,-0.0360600129686226,-0.06269774820259899,5.102282515177914,9679.2890625,,,0,unknown
2020-06-05,9800.2158203125,9869.2373046875,9663.216796875,9665.533203125,23509628646,0.0,0.0,BTC-USD,-134.6826171875,-1.3742821551781434,-0.013785177382049874,-0.013881075272663914,,-0.049348096675500996,-0.06269774820259899,4.151920354496526,9711.633231026786,,,0,unknown
2020-06-06,9664.904296875,9773.431640625,9591.0244140625,9653.6796875,20438419222,0.0,0.0,BTC-USD,-11.224609375,-0.11613782227134217,-0.0012263695520872142,-0.0012271221586050945,,-0.05051394722437186,-0.06269774820259899,3.92538985609878,9704.95689174107,,,0,unknown
2020-06-07,9653.0029296875,9768.498046875,9458.150390625,9758.8525390625,25015250846,0.0,0.0,BTC-USD,105.849609375,1.0965459157736597,0.010894586827723485,0.010835668358634767,,-0.040169688980695284,-0.06269774820259899,4.252855961906522,9747.49888392857,,,0,unknown
2020-06-08,9760.0634765625,9782.306640625,9675.8857421875,9771.4892578125,21486346312,0.0,0.0,BTC-USD,11.42578125,0.11706666946826216,0.0012948980117710729,0.0012940603543832425,,-0.03892680661931869,-0.06269774820259899,4.158834324628916,9690.958984375,,,0,unknown
2020-06-09,9774.3603515625,9836.369140625,9664.7197265625,9795.7001953125,23717842783,0.0,0.0,BTC-USD,21.33984375,0.21832470854820366,0.0024777121338637187,0.002474647666023554,,-0.036545543906548295,-0.06269774820259899,4.125026242485246,9728.94419642857,,,0,unknown
2020-06-10,9794.119140625,9908.896484375,9728.291015625,9870.0947265625,25706567601,0.0,0.0,BTC-USD,75.9755859375,0.7757265849703735,0.007594610876882513,0.00756591700730524,,-0.029228482214920137,-0.06269774820259899,4.299823237502898,9759.42661830357,,,0,unknown
2020-06-11,9870.078125,9938.2978515625,9263.0693359375,9321.78125,30247143440,0.0,0.0,BTC-USD,-548.296875,-5.555142199039078,-0.05555301055894357,-0.05715571914128428,,-0.08315776259275631,-0.08315776259275631,1.8408510749870979,9691.01869419643,,,0,unknown
