date,open,high,low,close,volume_base
2025-01-13 16:00:00,92123.6,97384.0,91242.5,96475.7,10123.01702215
2025-01-14 16:00:00,96475.7,99773.0,95340.1,98985.9,7830.16396599
2025-01-15 16:00:00,98985.8,100880.0,97311.1,99299.9,8047.72567482
2025-01-16 16:00:00,99299.9,104248.3,99063.4,104013.6,10588.00599974
2025-01-17 16:00:00,104013.6,105847.4,102288.0,104561.4,10173.58495552
2025-01-18 16:00:00,104561.4,105730.7,103148.1,104933.5,8620.66383717
2025-01-19 16:00:00,104933.5,109800.0,99526.4,104940.7,26174.63327745
2025-01-20 16:00:00,104950.3,107040.7,100111.0,103954.2,20499.05988776
2025-01-21 16:00:00,103954.2,107285.8,103638.5,104188.0,11848.9694155
2025-01-22 16:00:00,104189.0,106062.1,101233.0,105272.7,11803.64460861
2025-01-23 16:00:00,105272.9,106863.1,102213.2,105862.2,14599.81461841
2025-01-24 16:00:00,105862.1,107146.3,104106.1,104897.2,4662.90009693
2025-01-25 16:00:00,104897.3,105526.6,104429.1,104972.6,2415.67725378
2025-01-26 16:00:00,104972.5,105270.4,97751.6,101101.3,14960.93501003
2025-01-27 16:00:00,101101.3,103848.0,98859.0,102776.8,9522.83961963
2025-01-28 16:00:00,102776.7,103114.5,100274.4,101975.5,6161.25577812
2025-01-29 16:00:00,101975.5,106450.3,101416.9,105564.0,10286.63036897
2025-01-30 16:00:00,105564.0,106000.0,103900.0,105438.0,6888.84139038
2025-01-31 16:00:00,105437.9,105574.6,101389.6,102074.3,7410.78998721
2025-02-01 16:00:00,102074.2,102289.0,98170.0,99348.2,6364.25862137
2025-02-02 16:00:00,99348.2,99490.0,91182.6,98831.9,28649.09520794
2025-02-03 16:00:00,98832.0,102500.0,97843.9,99355.3,13214.68600385
2025-02-04 16:00:00,99357.6,100780.9,96136.2,98114.6,9829.71499174
2025-02-05 16:00:00,98114.6,99132.2,96156.0,97338.6,6877.12302248
2025-02-06 16:00:00,97338.7,100149.8,95680.0,98302.1,9588.19379174
2025-02-07 16:00:00,98305.1,98595.7,95601.0,95855.6,5638.85447682
2025-02-08 16:00:00,95855.6,97329.0,95688.0,96488.7,2937.97419407
2025-02-09 16:00:00,96488.8,98358.3,94705.8,97224.0,7288.31833519
2025-02-10 16:00:00,97226.0,98489.7,96565.6,97020.2,4772.86061371
2025-02-11 16:00:00,97024.3,97049.6,94021.3,95805.1,7945.59447372
2025-02-12 16:00:00,95805.1,98136.1,95120.2,95999.9,7237.18727711
2025-02-13 16:00:00,95996.0,97583.1,95209.4,96936.1,4906.53730646
2025-02-14 16:00:00,96938.0,98843.9,96494.4,97639.0,5033.00349587
2025-02-15 16:00:00,97639.1,97754.0,96685.7,96913.6,2742.91285958
2025-02-16 16:00:00,96913.7,97300.0,95558.1,95656.1,4450.47762264
2025-02-17 16:00:00,95656.1,96750.0,95072.6,95542.0,5468.76852454
2025-02-18 16:00:00,95542.0,96710.5,93363.3,95940.2,7231.52968117
2025-02-19 16:00:00,95940.1,98038.0,95403.7,96907.3,4960.89925485
2025-02-20 16:00:00,96907.4,99485.9,96874.1,98110.0,8149.64487437
2025-02-21 16:00:00,98109.9,98760.0,94858.5,96581.4,8781.31543894
2025-02-22 16:00:00,96581.4,96814.0,95400.1,95451.7,2380.96624529
2025-02-23 16:00:00,95451.7,96513.7,93827.1,94338.1,6621.96604935
2025-02-24 16:00:00,94334.1,95191.6,86050.0,87241.6,24764.34712171
2025-02-25 16:00:00,87243.9,89470.2,85425.5,87559.9,14565.09467029
2025-02-26 16:00:00,87564.7,87799.9,82236.0,85499.6,18636.22935729
2025-02-27 16:00:00,85500.8,85699.6,78258.5,83997.2,27841.62346766
2025-02-28 16:00:00,83997.1,86547.3,83181.7,84790.0,11217.5374469
2025-03-01 16:00:00,84790.0,88675.6,84690.2,87427.9,7302.71936886
2025-03-02 16:00:00,87428.0,95000.0,87310.8,90031.0,24100.352626
2025-03-03 16:00:00,90031.1,90999.9,81501.0,82980.2,21202.12960773
2025-03-04 16:00:00,82981.9,90932.4,82000.4,88342.1,16471.932256
2025-03-05 16:00:00,88338.0,92812.3,87589.2,90822.5,11396.48341535
2025-03-06 16:00:00,90824.0,91290.3,84640.0,88451.9,20888.29766441
2025-03-07 16:00:00,88444.0,89040.0,85217.8,86398.1,11272.1756916
2025-03-08 16:00:00,86398.1,86511.7,82740.5,83070.1,6340.02350641
2025-03-09 16:00:00,83070.1,84069.4,79155.0,80039.5,18162.60738378
2025-03-10 16:00:00,80037.9,82267.0,76600.0,81229.5,22197.07509064
2025-03-11 16:00:00,81228.7,84499.0,80597.7,81733.3,14212.26211624
2025-03-12 16:00:00,81731.8,84333.3,80953.6,81043.9,9206.75297655
2025-03-13 16:00:00,81041.2,85300.0,79940.0,84734.0,10221.35071989
2025-03-14 16:00:00,84734.1,84958.0,83609.2,84334.1,4651.28224608
2025-03-15 16:00:00,84334.1,84491.0,82357.0,83316.6,4254.51644329
2025-03-16 16:00:00,83316.5,85154.0,82000.0,83538.1,9407.22972983
2025-03-17 16:00:00,83538.2,84764.3,81144.0,81600.1,8844.9481551
2025-03-18 16:00:00,81600.1,84893.5,81240.0,84737.9,6801.48686018
2025-03-19 16:00:00,84738.0,87446.9,83570.0,84692.6,11265.74375026
2025-03-20 16:00:00,84687.4,84921.0,83170.6,83576.1,6993.91378563
2025-03-21 16:00:00,83570.3,84583.3,83376.1,84117.9,2813.77808048
2025-03-22 16:00:00,84117.9,85266.6,83650.0,85194.0,2860.008936
