symbol,name,slug,last_updated,circulating_supply,total_supply,max_supply,cmc_rank,quote_price,quote_volume_24h,quote_volume_change_24h,quote_percent_change_1h,quote_percent_change_24h,quote_percent_change_7d,quote_percent_change_30d,quote_percent_change_60d,quote_percent_change_90d,quote_market_cap,quote_market_cap_dominance,quote_fully_diluted_market_cap,quote_tvl,quote_last_updated,date
BTC,Bitcoin,bitcoin,2025-11-09T11:17:00.000Z,19946421.0,19946421.0,21000000.0,1,102184.72385370595,48223088314.63767,-41.3435,0.51755662,-0.35823981,-7.7064418,-15.95083451,-9.02886136,-15.42704531,2038219521754.7612,59.3392,2145879200927.82,,2025-11-09T11:17:00.000Z,2025-11-09 11:17:00+00:00
ETH,Ethereum,ethereum,2025-11-09T11:17:00.000Z,120696609.84895349,120696609.84895349,,2,3423.4208267814083,22164120734.090553,-44.7121,0.88652524,-0.75939894,-11.59112915,-21.10983064,-20.94557384,-18.77873557,413195287878.8174,12.0295,413195287878.82,,2025-11-09T11:17:00.000Z,2025-11-09 11:17:00+00:00
